city,lon,lat,temp,temp_max,humidity,wind_speed,%_cloud_cover
Pacific Grove,-121.9166,36.6177,57.27,66.58,74,1.01,6
Khatanga,102.5,71.9667,-6.56,-6.56,98,7.74,100
Butaritari,172.7902,3.0707,81.75,81.75,78,17.58,100
Olafsvik,-23.7142,64.8945,36.55,36.55,77,14.25,100
Malakanagiri,81.9,18.35,61.84,61.84,60,2.24,53
Rincon,-81.2354,32.296,59.76,66.38,36,3.98,100
Tautira,-149.15,-17.7333,84.22,84.22,78,20.78,100
Melfi,15.6514,40.9965,35.49,39.4,65,5.99,0
Souillac,57.5167,-20.5167,79.18,79.36,89,4.61,40
Vaini,-175.2,-21.2,82.56,82.56,83,10.36,20
Esperance,121.9,-33.8667,58.84,58.84,81,15.14,0
Bredasdorp,20.0403,-34.5322,63.72,63.72,77,4.61,73
Torbay,-52.7314,47.6666,27.86,28.76,75,25.32,75
Finschhafen,147.8681,-6.6024,77.09,77.09,92,6.2,100
Norman Wells,-126.8329,65.282,-29.16,-29.16,68,4.61,40
Bakchar,82.0711,57.0186,3.16,3.16,96,5.86,79
Cayenne,-52.3333,4.9333,79.09,82.44,87,7,75
Nelson Bay,152.15,-32.7167,70.75,72,77,3,28
San Matías,-58.4,-16.3667,90.48,90.48,49,4.41,96
Birsk,55.5428,55.4211,18.97,18.97,94,15.97,100
Tiarei,-149.3333,-17.5333,84.22,84.22,78,19.98,100
Dahra,0.8519,36.2546,45.79,45.79,70,4.03,0
Tari,4.4914,12.4086,68.02,68.02,18,10.13,0
Mossamedes,12.1522,-15.1961,70.83,70.83,81,5.88,14
Novokayakent,47.9861,42.3937,35.65,35.65,72,11.65,98
Ust-Nera,143.2,64.5667,-31.34,-31.34,81,2.64,9
Los Llanos de Aridane,-17.9182,28.6585,66.13,66.13,39,1.99,0
Aripuanã,-60.6333,-9.1667,80.24,80.24,89,1.83,99
Ingham,-84.3833,42.6,25.02,29.75,74,18.41,100
Altamira,-52.2064,-3.2033,87.89,87.89,66,5.75,40
Vila do Maio,-23.2167,15.1333,75.99,75.99,76,16.13,49
Porto Belo,-48.5531,-27.1578,86.27,89.8,79,13.47,0
Nanortalik,-45.2371,60.1432,37.24,37.24,87,25.81,100
Faya,42.4509,18.3851,54.12,54.12,82,5.91,2
Ponta do Sol,-17.1,32.6667,63.93,65.03,82,18.34,100
Yangi Marg`ilon,71.7189,40.4272,39.92,39.92,65,4.61,75
Hearst,-83.6665,49.6835,-10.95,-10.95,92,11.14,100
Devils Lake,-98.8651,48.1128,-11.06,-11.06,76,11.99,40
Oussouye,-16.5469,12.485,80.69,86.18,51,6.64,3
Pabianice,19.3547,51.6645,30.99,33.31,85,7,0
Marsh Harbour,-77.0636,26.5412,72.63,72.63,55,11.83,57
Tuktoyaktuk,-133.0374,69.4541,-20.2,-20.2,76,8.05,75
Hilo,-155.09,19.7297,75.29,78.24,79,7,0
Moussoro,16.4901,13.6408,64.38,64.38,19,16.6,0
San Vicente,-54.1333,-26.6167,85.51,85.51,46,2.91,89
Muyezerskiy,31.65,63.9333,31.37,31.37,96,13.49,100
Maningrida,134.2667,-12.0667,78.44,78.44,91,5.39,100
Faanui,-151.75,-16.4833,80.26,80.26,78,22.06,100
Pisco,-76.2167,-13.7,78.85,78.85,65,10.36,0
Tekeli,78.8239,44.83,28.4,28.4,97,1.36,100
Ancud,-73.8203,-41.8697,71.22,71.22,62,6.62,62
Bend,-121.3153,44.0582,42.78,45.48,78,1.01,20
Tevaitoa,-151.5,-16.7833,80.98,80.98,76,22.57,100
Airai,125.4092,-8.9266,60.33,60.33,97,1.34,100
Mahon,4.2658,39.8885,45.16,45.16,93,5.75,20
Kavaratti,72.642,10.5669,80.98,80.98,66,8.12,58
Paamiut,-49.6678,61.994,37.65,37.65,84,47.4,100
Marzuq,46.4667,14.4,64.33,64.33,56,5.37,4
Castro,-50.0119,-24.7911,75.24,75.24,79,2.95,52
Kargil,76.1,34.5667,3.72,3.72,98,2.33,100
Ilulissat,-51.1,69.2167,38.19,38.19,72,18.52,100
Nishihara,127.7558,26.1842,53.65,56.48,76,4.61,40
Vila Franca do Campo,-25.4333,37.7167,61.2,61.21,85,23.13,98
São João da Barra,-41.0511,-21.6403,86.09,86.09,85,13.2,6
Anakapalle,83.0167,17.6833,67.95,67.95,85,1.72,53
Margherita,95.6833,27.2833,54.95,54.95,73,2.37,24
Igrim,64.4162,63.1906,10.09,10.09,91,7,9
Lorengau,147.2712,-2.0226,80.83,80.83,82,14.94,96
Severo-Kuril'sk,156.125,50.6789,28.53,28.53,88,11.81,100
Road Town,-64.6167,18.4167,82.44,82.44,69,12.66,40
Noumea,166.4572,-22.2763,80.01,80.01,99,9.28,12
Magione,12.2069,43.1439,42.6,45.95,89,3.2,76
San Luis,-66.3356,-33.295,77.45,77.45,46,4.74,82
Mazatlán,-106.4167,23.2167,77.02,77.02,86,3,100
Grand Gaube,57.6608,-20.0064,79.38,79.38,88,1.01,100
Saint-Augustin,-58.6502,51.226,0.09,0.09,79,15.84,27
Te Anau,167.7167,-45.4167,46.87,46.87,86,0.78,97
Taebla,23.7419,58.9547,36.64,37.47,87,13.18,100
Tateyama,139.8667,34.9833,37.08,37.09,73,7.43,79
Donji Vakuf,17.4,44.1436,28.26,28.26,79,5.19,6
Rong Kwang,100.3174,18.339,62.51,62.51,94,2.01,2
Lagoa,-27.9833,39.05,61.59,61.59,86,32.19,45
Bay Roberts,-53.2648,47.5999,28.92,29.52,71,11.01,91
Kangar,100.1986,6.4414,75.27,80.55,89,6.58,63
Bubaque,-15.8333,11.2833,79.34,79.34,77,15.37,17
Bayir,28.2167,37.2687,28.92,28.92,58,3.71,0
Arlit,7.3853,18.7369,59.56,59.56,24,11.54,0
Lebu,-73.65,-37.6167,61.09,61.09,63,11.1,0
Pingxiang,113.85,27.6167,46.53,46.53,92,3,55
Upernavik,-56.1549,72.7868,16.75,16.75,70,7.09,100
Saskylakh,114.0833,71.9167,-6.56,-6.56,91,12.62,100
Leningradskiy,178.4167,69.3833,-34.06,-34.06,97,4.18,34
Oddur,43.8894,4.1213,79.84,79.84,39,12.3,81
San Cristobal,-72.225,7.7669,77.18,77.18,49,6.53,83
Nikolskoye,30.7861,59.7035,35.31,36.88,93,11.68,100
Panabá,-88.2667,21.2833,80.02,80.02,56,9.01,97
Lüderitz,15.1594,-26.6481,72.28,72.28,72,9.1,41
Rafaela,-61.4867,-31.2503,84.78,89.06,56,1.99,43
Kostanay,63.5833,53.1667,4.71,4.71,93,7.49,100
Grindavik,-22.4338,63.8424,30.67,30.67,80,12.66,0
Bowen,148.2333,-20.0167,73.62,73.62,79,9.33,70
Letlhakane,25.5833,-21.4167,79.68,79.68,33,11.32,2
São Gabriel da Cachoeira,-67.0892,-0.1303,91.2,91.2,58,5.75,40
Bengkulu,102.2655,-3.8004,73.8,73.8,91,11.92,100
Ust-Maya,134.5333,60.4167,-39.24,-39.24,100,1.83,70
Khilok,110.4676,51.3674,-0.27,-0.27,99,2.1,100
Zeya,127.2667,53.75,-15.36,-15.36,94,2.51,5
Necochea,-58.7368,-38.5473,72.03,72.03,65,19.37,86
Quatre Cocos,57.7625,-20.2078,79.09,79.09,80,7.83,100
Vuktyl,57.3094,63.8567,6.4,6.4,92,11.63,98
Jesenice,14.0669,46.4306,25.59,37.35,94,4.38,28
Ol'ga,135.2892,43.7444,5.86,5.86,70,9.28,6
Castrillón,-6.7922,43.3979,39.22,43.34,84,2.26,2
Tourlaville,-1.5664,49.6383,47.62,49.66,71,13.8,100
Slave Lake,-114.769,55.2834,-13.02,-13.02,84,10.36,0
Ulagan,87.9563,50.6321,5.25,5.25,94,2.26,62
Mareeba,145.4333,-17,72.43,74.12,92,1.68,70
Barra de Tecoanapa,-98.75,16.5167,81.95,81.95,61,8.61,53
Husavik,-17.3389,66.0449,26.51,26.51,78,12.93,97
Pangai,-174.35,-19.8,82.15,82.15,81,19.64,0
Lagunas,-75.6753,-5.2269,85.06,85.06,62,3.06,100
Nantucket,-70.0995,41.2835,45.43,46.96,76,26.6,52
Labuan,115.2417,5.2767,78.6,79.16,88,10,20
Yaan,8.5667,7.3833,79.83,79.83,20,5.48,36
Charters Towers,146.2667,-20.1,73.4,73.4,83,6.87,100
Karasjok,25.5112,69.4719,30.31,30.31,96,6.82,97
Shubarkuduk,56.4872,49.1447,0.86,0.86,92,9.15,100
Vendôme,1.0667,47.8,40.15,42.49,96,9.44,100
Pimentel,-79.9342,-6.8367,80.89,80.89,57,20.71,0
Cururupu,-44.8683,-1.8283,80.02,80.02,83,6.08,35
Nerchinskiy Zavod,119.61,51.3088,-31.83,-31.83,100,1.45,24
San Quintín,-115.95,30.4833,63.18,63.18,73,13.98,8
Lata,-8.3327,40.1629,49.53,49.82,69,3.11,0
Carnarvon,113.6333,-24.8667,77.07,77.07,88,6.91,9
Oleksandrivka,32.7612,46.8383,23.85,23.85,75,4.92,11
Hong Kong,114.1577,22.2855,59.45,61.32,78,1.01,5
Matara,80.5353,5.9485,75.06,75.06,86,3.4,81
Okhotsk,143.3,59.3833,-10.28,-10.28,78,9.19,12
Lavrentiya,-171,65.5833,-17.25,-17.25,92,8.9,34
Palekastro,26.25,35.2,46.74,46.74,52,17.2,5
Camacha,-16.3333,33.0833,62.01,62.02,72,20.71,20
Tahe,124.7333,52.3333,-21.75,-21.75,97,3.18,5
Port Moresby,147.1797,-9.4431,74.62,74.62,100,5.75,75
Biak,122.8766,-0.9131,75.51,75.51,88,3.33,100
Kangaatsiaq,-53.4641,68.3065,32.7,32.7,97,16.84,100
El Retorno,-72.6276,2.3302,91.65,91.65,38,6.55,63
Saint-Philippe,55.7679,-21.3585,76.46,76.59,87,2.04,77
Hofn,-15.2082,64.2539,24.82,24.82,50,5.75,20
Rawson,-65.1023,-43.3002,66.45,66.45,51,16.49,89
Komatipoort,31.9548,-25.4332,74.05,74.05,87,3.2,100
Bonavista,-53.1147,48.6499,24.8,29.12,64,25.14,85
Banda Aceh,95.3222,5.5577,77.29,77.29,81,8.75,90
Zabid,43.3152,14.1951,78.19,78.19,74,10.85,85
Deputatsky,139.9,69.3,-24.11,-24.11,75,1.95,20
Ascension,-90.9001,30.2169,73.65,75.2,53,9.22,100
Vestmannaeyjar,-20.2734,63.4427,32.5,32.5,65,5.26,50
Traiguén,-72.6833,-38.25,76.78,76.78,20,10.4,7
Saldanha,17.9442,-33.0117,64.45,64.45,77,19.06,10
Storslett,21.0247,69.7678,30.2,30.2,59,10.36,40
Khovd,91.6419,48.0056,2.77,2.77,89,2.62,98
Beringovskiy,179.3167,63.05,-22.2,-22.2,89,9.82,9
Kavieng,150.7967,-2.5744,81.23,81.23,82,20.56,100
Gorom-Gorom,-0.2361,14.4439,68,68,12,10,0
Bathsheba,-59.5167,13.2167,83.01,83.01,69,18.41,20
Baruun-Urt,113.2792,46.6806,-2.79,-2.79,96,0.58,29
São Filipe,-24.4956,14.8961,73.98,73.98,76,11.7,33
Springfield,-93.2982,37.2153,31.57,35.42,71,8.99,100
Neiafu,-173.9833,-18.65,82.49,82.49,81,22.57,20
La Libertad,-80.9,-2.2333,82.06,82.06,65,10.36,0
Kindersley,-109.1682,51.4668,-16.58,-15.02,76,10.36,20
Daşoguz,59.9666,41.8363,26.55,26.55,100,13.8,100
Bilma,12.9164,18.6853,57.81,57.81,28,7.94,0
Pochutla,-96.4661,15.7432,85.82,85.82,44,9.51,1
Petawawa,-77.3328,45.9001,33.6,33.6,76,14.34,92
Yārāda,83.2667,17.65,68.32,68.32,94,2.3,20
Saint George,-113.5841,37.1041,51.78,55.35,49,1.99,3
Kahului,-156.47,20.8947,77.83,78.96,83,8.99,1
Boone,-92.3335,39.0334,23,25.05,80,5.99,100
Lødingen,15.9951,68.414,29.91,31.44,88,5.99,100
Lakes Entrance,147.981,-37.8811,54.16,55.58,78,8.66,81
Watsa,29.5355,3.0372,67.41,67.41,57,1.81,100
Huarmey,-78.1522,-10.0681,76.15,76.15,75,10.78,25
Ko Samui,99.9357,9.5357,79.95,79.95,73,9.48,61
Puerto Limón,-83.0333,10,82.29,82.29,69,8.05,0
Quthing,27.7003,-30.4,64.72,64.72,77,5.91,14
Daru,143.2092,-9.0763,76.3,76.3,92,8.03,96
Lamu,40.902,-2.2717,78.8,78.8,81,13.38,100
Sadovo,24.9333,42.1333,30.6,36.05,64,8.05,2
Porto Murtinho,-57.8825,-21.6989,84.96,84.96,57,14.97,66
Quelimane,36.8883,-17.8786,80.55,80.55,78,6.91,40
Tashara,83.5094,55.5195,-1.43,-1.43,98,5.59,62
Dingzhou,114.9956,38.5131,24.91,24.91,64,2.93,100
Salme,85.0942,28.0369,43.09,43.09,71,3.22,99
Bundaberg,152.35,-24.85,72.21,72.21,95,1.99,24
Iralaya,-83.2333,15,81.05,81.05,68,11.99,4
Nemuro,145.575,43.3236,22.14,22.14,74,12.82,47
Dingle,122.6711,10.9995,72.66,72.66,96,7.34,76
Narsaq,-46.05,60.9167,33.17,33.17,84,9.71,100
Port Blair,92.75,11.6667,80.64,80.64,78,2.3,40
Koumac,164.2833,-20.5667,78.85,78.85,78,4.38,11
Samarai,150.6667,-10.6167,80.83,80.83,80,12.68,100
Bossier City,-93.7321,32.516,71.44,73.89,68,12.66,100
Almonte,-6.5167,37.2647,52.14,54.45,61,3.49,0
Tigil',158.6667,57.8,-0.13,-0.13,89,4.94,100
San Patricio,-97.5169,28.017,79.2,86.09,41,15.43,11
Tsiroanomandidy,46.0333,-18.7667,66.7,66.7,97,1.19,100
Răstoliţa,24.9929,46.9726,15.55,15.55,96,2.33,92
Uyskoye,60.0047,54.3775,6.48,6.48,96,3.89,100
Kumluca,30.2869,36.3703,39.67,39.67,39,7.02,0
Port-Cartier,-66.8654,50.0334,1.71,1.74,75,2.37,100
Departamento de Maldonado,-54.9167,-34.6667,72.79,73.22,85,12.5,99
Mapiripán,-72.1256,2.8892,92.68,92.68,35,6.93,58
Ahar,47.0699,38.4774,14.27,14.27,74,7.02,4
At-Bashi,75.8106,41.1702,9.72,9.72,88,1.9,90
Vardø,31.1107,70.3705,26.58,26.8,74,21.85,0
Achí,-74.554,8.5682,94.03,94.03,42,1.25,8
Anshun,105.9333,26.25,45.37,45.37,90,9.19,100
Fasa,53.6482,28.9383,45.64,45.64,81,4.61,0
Marabu,114.0089,4.4148,77.14,77.14,94,4.61,40
Shubarshi,57.1869,48.5872,-3.32,-3.32,96,7.63,90
Alofi,-169.9187,-19.0595,82.29,82.29,83,12.66,5
Boende,20.8667,-0.2167,75.34,75.34,63,1.28,67
Sechura,-80.8222,-5.5569,80.08,80.08,60,14.56,100
Shizunai-furukawachō,142.3669,42.3339,25.72,25.72,73,6.46,100
Farkhor,69.4036,37.4922,37.45,40.08,82,1.92,52
Port Macquarie,152.9167,-31.4333,67.89,67.96,84,20.92,100
Soto la Marina,-98.2167,23.7667,84.88,84.88,42,6.29,48
Belmonte,-38.8828,-15.8631,84.7,84.7,70,7.76,57
‘Ewa Beach,-158.0072,21.3156,76.8,80.02,64,3,1
Piossasco,7.4637,44.9905,36.61,40.86,76,2.53,1
Auray,-2.9918,47.6703,44.58,48.54,97,12.39,100
Rio Verde de Mato Grosso,-54.8442,-18.9181,87.75,87.75,51,4.32,47
Hambantota,81.1185,6.1241,74.77,74.77,77,12.46,89
Honiara,159.95,-9.4333,78.22,78.22,84,3.6,70
Genhe,121.5167,50.7833,-27.78,-27.78,100,1.7,46
Coihueco,-71.8333,-36.6167,75.94,75.94,18,6.91,0
Half Moon Bay,-122.4286,37.4636,57.96,64.87,76,11.5,0
Mukhen,136.1,48.1,-10.52,-10.52,99,2.68,96
Hobyo,48.5268,5.3505,78.26,78.26,79,16.67,100
Tondano,124.9112,1.3038,68.09,68.09,93,1.21,99
Gisborne,178.0042,-38.6533,69.94,69.94,66,11.59,81
